単語,出現回数
ぶんがく,5610
けんぽう,5608
きょうきゅう,5605
こうりつ,5599
ぼうさい,5593
すいじゅん,5588
だんじょ,5588
しゅっぱん,5585
ざ,5582
ぶんしょ,5582
すいい,5574
ごはん,5570
ちえ,5567
かんご,5560
ゆか,5560
きんし,5546
かって,5542
そうご,5540
うそ,5537
げいじゅつ,5535
しょくぎょう,5535
よういん,5526
ないかく,5525
ばらんす,5518
しんさ,5514
おきなわ,5511
ほうもん,5509
すうじ,5506
きかく,5503
ひてい,5497
しお,5488
なま,5486
こうしょう,5481
こてい,5480
ぶんしょう,5456
にちじ,5443
だいとうりょう,5436
むこう,5435
ゆうびん,5433
きょうし,5423
はつばい,5419
せっけい,5416
とうけい,5405
しんぎ,5400
はこ,5398
せんご,5391
れんぞく,5391
たのしみ,5385
たいよう,5377
たいりょう,5371
ていあん,5367
ほぜん,5353
そうとう,5343
あいさつ,5334
たいむ,5334
しっこう,5328
ちょうせん,5328
そうち,5320
くらす,5319
じょうやく,5318
てつどう,5309
げんじょう,5306
ぎもん,5289
あね,5285
あか,5281
ねっとわーく,5281
めんばー,5278
じゅうしょ,5274
さっき,5269
はだ,5268
せんりゃく,5261
びる,5260
ぷろぐらむ,5252
めにゅー,5251
じゅん,5249
こうもく,5245
きんむ,5240
かくめい,5238
さくじょ,5237
ふだん,5236
がらす,5222
ほっかいどう,5219
かくしゅ,5218
だんな,5218
せっと,5216
あな,5213
ふきゅう,5212
かいわ,5209
ねつ,5199
しんり,5189
しじ,5189
せつ,5182
あり,5177
ろしあ,5171
やふー,5161
ぼうえい,5159
しょうがく,5158
きき,5133
せいけん,5119
りょうしん,5106
けんさく,5105
いっしょう,5103
しょこく,5103
そうり,5097
けいか,5088
すたーと,5086
いちじ,5078
じゅぎょう,5077
たっせい,5077
えいよう,5076
みどり,5074
けいしき,5072
にゅーす,5072
きー,5065
しゅっしん,5053
しんこう,5045
けいぞく,5041
わだい,5033
わかもの,5028
かいしゃく,5026
うんよう,5020
くうこう,5020
じったい,5018
さゆう,5013
こっかい,5010
かにゅう,5000
えんじん,4992
おんせん,4990
せいか,4986
しゅしょう,4985
しゅう,4972
こうはん,4945
にわ,4937
かんてん,4936
こうこく,4935
かり,4933
しょうさい,4933
しんだん,4933
すたいる,4930
べーす,4923
しま,4922
そうさ,4918
あせ,4904
らく,4902
びょう,4876
こーひー,4874
たいしょく,4873
しゅっぱつ,4870
それん,4863
どらま,4861
せつりつ,4857
ほんぶ,4856
しはらい,4855
でぃーぶいでぃー,4852
げんてい,4845
はつげん,4845
にんてい,4843
ひょうじゅん,4840
しょうじょ,4837
しょうけん,4828
こすと,4827
まいとし,4826
すい,4824
とりしまり,4820
いない,4816
まつり,4816
うけつけ,4813
かつやく,4809
なっとく,4809
れんごう,4808
だん,4804
きんちょう,4801
しょうこ,4800
せつぞく,4798
びっくり,4793
いたみ,4790
いでん,4787
はあく,4782
でんしゃ,4776
やきゅう,4776
しょるい,4774
しょき,4771
たまご,4768
かんせん,4766
ひりつ,4766
かんしゃ,4752
とけい,4747
さっか,4741
ひとこと,4740
ごうけい,4738
しんよう,4733
おかげ,4727
きこう,4726
いたりあ,4720
いしゃ,4712
しーと,4708
おーけー,4696
りすく,4692
ひみつ,4691
ごみ,4690
しぼう,4688
ふくすう,4684
せ,4678
ちゅうしゃ,4673
ひょうめん,4671
にゅういん,4668
へんじ,4667
はば,4661
はんにん,4657
ていこう,4655
せいねん,4652
ふくざつ,4644
いんど,4638
がいねん,4633
きんきゅう,4629
にんしん,4629
ういんどー,4615
いべんと,4610
けいき,4610
ほ,4610
てってい,4607
そざい,4605
びでお,4604
からー,4600
きしゃ,4600
じんじゃ,4594
いちおう,4592
じたく,4585
ぜんてい,4584
おば,4582
おわり,4581
かおり,4578
しげき,4577
たたかい,4576
てんかん,4574
こうそく,4573
